sample_id,project_id,classification,run_count,first_run_id,calculated_total_reads,recorded_total_reads,all_runs_match_recorded,read_difference,minimum_reference_depth,eligible_reference_sample
SRS2821918,MGYS00002437,seawater,1,SRR6457303,492477.0,492477.0,True,0.0,10000,True
SRS2822206,MGYS00002437,seawater,1,SRR6457489,239412.0,239412.0,True,0.0,10000,True
SRS2822087,MGYS00002437,seawater,1,SRR6457134,236711.0,236711.0,True,0.0,10000,True
SRS2822097,MGYS00002437,seawater,1,SRR6457124,183647.0,183647.0,True,0.0,10000,True
SRS2822272,MGYS00002437,seawater,1,SRR6457423,178788.0,178788.0,True,0.0,10000,True
SRS2822066,MGYS00002437,seawater,1,SRR6457154,177316.0,177316.0,True,0.0,10000,True
SRS2821869,MGYS00002437,seawater,1,SRR6457355,170212.0,170212.0,True,0.0,10000,True
SRS2821898,MGYS00002437,seawater,1,SRR6457325,166690.0,166690.0,True,0.0,10000,True
SRS2821908,MGYS00002437,seawater,1,SRR6457313,164601.0,164601.0,True,0.0,10000,True
SRS2821825,MGYS00002437,seawater,1,SRR6457407,162026.0,162026.0,True,0.0,10000,True
SRS2822059,MGYS00002437,seawater,1,SRR6457159,159690.0,159690.0,True,0.0,10000,True
SRS2822263,MGYS00002437,seawater,1,SRR6457432,152938.0,152938.0,True,0.0,10000,True
SRS2821896,MGYS00002437,seawater,1,SRR6457327,152225.0,152225.0,True,0.0,10000,True
SRS2821995,MGYS00002437,seawater,1,SRR6457225,151926.0,151926.0,True,0.0,10000,True
SRS2821999,MGYS00002437,seawater,1,SRR6457220,151611.0,151611.0,True,0.0,10000,True
SRS2822084,MGYS00002437,seawater,1,SRR6457136,151358.0,151358.0,True,0.0,10000,True
SRS2822070,MGYS00002437,seawater,1,SRR6457150,150172.0,150172.0,True,0.0,10000,True
SRS2821820,MGYS00002437,seawater,1,SRR6457403,150168.0,150168.0,True,0.0,10000,True
SRS2822186,MGYS00002437,seawater,1,SRR6457509,148559.0,148559.0,True,0.0,10000,True
SRS2821976,MGYS00002437,seawater,1,SRR6457244,145843.0,145843.0,True,0.0,10000,True
SRS2822171,MGYS00002437,seawater,1,SRR6457524,144121.0,144121.0,True,0.0,10000,True
SRS2822004,MGYS00002437,seawater,1,SRR6457214,143771.0,143771.0,True,0.0,10000,True
SRS2822042,MGYS00002437,seawater,1,SRR6457176,142149.0,142149.0,True,0.0,10000,True
SRS2821973,MGYS00002437,seawater,1,SRR6457247,141074.0,141074.0,True,0.0,10000,True
SRS2822118,MGYS00002437,seawater,1,SRR6457103,140201.0,140201.0,True,0.0,10000,True
SRS2821916,MGYS00002437,seawater,1,SRR6457305,138931.0,138931.0,True,0.0,10000,True
SRS2822023,MGYS00002437,seawater,1,SRR6457196,137863.0,137863.0,True,0.0,10000,True
SRS2822063,MGYS00002437,seawater,1,SRR6457157,136910.0,136910.0,True,0.0,10000,True
SRS2821905,MGYS00002437,seawater,1,SRR6457317,135545.0,135545.0,True,0.0,10000,True
SRS2821842,MGYS00002437,seawater,1,SRR6457382,135050.0,135050.0,True,0.0,10000,True
SRS2821868,MGYS00002437,seawater,1,SRR6457356,133799.0,133799.0,True,0.0,10000,True
SRS2822085,MGYS00002437,seawater,1,SRR6457135,132677.0,132677.0,True,0.0,10000,True
SRS2822185,MGYS00002437,seawater,1,SRR6457510,132604.0,132604.0,True,0.0,10000,True
SRS2822261,MGYS00002437,seawater,1,SRR6457433,131954.0,131954.0,True,0.0,10000,True
SRS2821911,MGYS00002437,seawater,1,SRR6457310,131908.0,131908.0,True,0.0,10000,True
SRS2822100,MGYS00002437,seawater,1,SRR6457120,130723.0,130723.0,True,0.0,10000,True
SRS2822021,MGYS00002437,seawater,1,SRR6457198,129540.0,129540.0,True,0.0,10000,True
SRS2821974,MGYS00002437,seawater,1,SRR6457246,129310.0,129310.0,True,0.0,10000,True
SRS2821987,MGYS00002437,seawater,1,SRR6457234,129206.0,129206.0,True,0.0,10000,True
SRS2822277,MGYS00002437,seawater,1,SRR6457418,128855.0,128855.0,True,0.0,10000,True
SRS2821935,MGYS00002437,seawater,1,SRR6457285,128244.0,128244.0,True,0.0,10000,True
SRS2821937,MGYS00002437,seawater,1,SRR6457283,128041.0,128041.0,True,0.0,10000,True
SRS2821897,MGYS00002437,seawater,1,SRR6457326,127984.0,127984.0,True,0.0,10000,True
SRS2821934,MGYS00002437,seawater,1,SRR6457286,127933.0,127933.0,True,0.0,10000,True
SRS2821816,MGYS00002437,seawater,1,SRR6457408,127826.0,127826.0,True,0.0,10000,True
SRS2822270,MGYS00002437,seawater,1,SRR6457424,127140.0,127140.0,True,0.0,10000,True
SRS2821818,MGYS00002437,seawater,1,SRR6457405,126892.0,126892.0,True,0.0,10000,True
SRS2822196,MGYS00002437,seawater,1,SRR6457499,126709.0,126709.0,True,0.0,10000,True
SRS2821866,MGYS00002437,seawater,1,SRR6457358,126475.0,126475.0,True,0.0,10000,True
SRS2822041,MGYS00002437,seawater,1,SRR6457177,125762.0,125762.0,True,0.0,10000,True
SRS2822022,MGYS00002437,seawater,1,SRR6457195,124382.0,124382.0,True,0.0,10000,True
SRS2822068,MGYS00002437,seawater,1,SRR6457152,123886.0,123886.0,True,0.0,10000,True
SRS2822105,MGYS00002437,seawater,1,SRR6457115,123768.0,123768.0,True,0.0,10000,True
SRS2821855,MGYS00002437,seawater,1,SRR6457369,123758.0,123758.0,True,0.0,10000,True
SRS2821900,MGYS00002437,seawater,1,SRR6457323,123489.0,123489.0,True,0.0,10000,True
SRS2822184,MGYS00002437,seawater,1,SRR6457511,122188.0,122188.0,True,0.0,10000,True
SRS2822128,MGYS00002437,seawater,1,SRR6457093,121634.0,121634.0,True,0.0,10000,True
SRS2822276,MGYS00002437,seawater,1,SRR6457419,121549.0,121549.0,True,0.0,10000,True
SRS2821874,MGYS00002437,seawater,1,SRR6457350,119937.0,119937.0,True,0.0,10000,True
SRS2822020,MGYS00002437,seawater,1,SRR6457197,119899.0,119899.0,True,0.0,10000,True
SRS2822131,MGYS00002437,seawater,1,SRR6457089,119558.0,119558.0,True,0.0,10000,True
SRS2822094,MGYS00002437,seawater,1,SRR6457126,119530.0,119530.0,True,0.0,10000,True
SRS2822124,MGYS00002437,seawater,1,SRR6457097,119406.0,119406.0,True,0.0,10000,True
SRS2821944,MGYS00002437,seawater,1,SRR6457276,119085.0,119085.0,True,0.0,10000,True
SRS2822155,MGYS00002437,seawater,1,SRR6457540,118436.0,118436.0,True,0.0,10000,True
SRS2822139,MGYS00002437,seawater,1,SRR6457081,117854.0,117854.0,True,0.0,10000,True
SRS2822225,MGYS00002437,seawater,1,SRR6457470,117425.0,117425.0,True,0.0,10000,True
SRS2822062,MGYS00002437,seawater,1,SRR6457160,117276.0,117276.0,True,0.0,10000,True
SRS2822076,MGYS00002437,seawater,1,SRR6457144,116876.0,116876.0,True,0.0,10000,True
SRS2821824,MGYS00002437,seawater,1,SRR6457400,116648.0,116648.0,True,0.0,10000,True
SRS2822002,MGYS00002437,seawater,1,SRR6457216,116576.0,116576.0,True,0.0,10000,True
SRS2821907,MGYS00002437,seawater,1,SRR6457315,116336.0,116336.0,True,0.0,10000,True
SRS2822269,MGYS00002437,seawater,1,SRR6457426,116251.0,116251.0,True,0.0,10000,True
SRS2822203,MGYS00002437,seawater,1,SRR6457492,116027.0,116027.0,True,0.0,10000,True
SRS2821819,MGYS00002437,seawater,1,SRR6457404,115898.0,115898.0,True,0.0,10000,True
SRS2822086,MGYS00002437,seawater,1,SRR6457133,115868.0,115868.0,True,0.0,10000,True
SRS2821920,MGYS00002437,seawater,1,SRR6457301,115505.0,115505.0,True,0.0,10000,True
SRS2822082,MGYS00002437,seawater,1,SRR6457138,115347.0,115347.0,True,0.0,10000,True
SRS2821826,MGYS00002437,seawater,1,SRR6457398,114997.0,114997.0,True,0.0,10000,True
SRS2821876,MGYS00002437,seawater,1,SRR6457347,114777.0,114777.0,True,0.0,10000,True
SRS2821877,MGYS00002437,seawater,1,SRR6457348,114732.0,114732.0,True,0.0,10000,True
SRS2821884,MGYS00002437,seawater,1,SRR6457339,113804.0,113804.0,True,0.0,10000,True
SRS2822211,MGYS00002437,seawater,1,SRR6457484,113730.0,113730.0,True,0.0,10000,True
SRS2822156,MGYS00002437,seawater,1,SRR6457539,112547.0,112547.0,True,0.0,10000,True
SRS2821840,MGYS00002437,seawater,1,SRR6457384,112003.0,112003.0,True,0.0,10000,True
SRS2821889,MGYS00002437,seawater,1,SRR6457334,111943.0,111943.0,True,0.0,10000,True
SRS2821942,MGYS00002437,seawater,1,SRR6457278,111921.0,111921.0,True,0.0,10000,True
SRS2822192,MGYS00002437,seawater,1,SRR6457505,111912.0,111912.0,True,0.0,10000,True
SRS2822265,MGYS00002437,seawater,1,SRR6457430,111665.0,111665.0,True,0.0,10000,True
SRS2822202,MGYS00002437,seawater,1,SRR6457493,111388.0,111388.0,True,0.0,10000,True
SRS2822071,MGYS00002437,seawater,1,SRR6457149,111093.0,111093.0,True,0.0,10000,True
SRS2821992,MGYS00002437,seawater,1,SRR6457228,111091.0,111091.0,True,0.0,10000,True
SRS2821909,MGYS00002437,seawater,1,SRR6457312,111058.0,111058.0,True,0.0,10000,True
SRS2822043,MGYS00002437,seawater,1,SRR6457232,110826.0,110826.0,True,0.0,10000,True
SRS2822113,MGYS00002437,seawater,1,SRR6457107,110529.0,110529.0,True,0.0,10000,True
SRS2822044,MGYS00002437,seawater,1,SRR6457175,110524.0,110524.0,True,0.0,10000,True
SRS2822027,MGYS00002437,seawater,1,SRR6457191,110462.0,110462.0,True,0.0,10000,True
SRS2822180,MGYS00002437,seawater,1,SRR6457515,110278.0,110278.0,True,0.0,10000,True
SRS2821975,MGYS00002437,seawater,1,SRR6457245,109515.0,109515.0,True,0.0,10000,True
SRS2821951,MGYS00002437,seawater,1,SRR6457270,109355.0,109355.0,True,0.0,10000,True
SRS2822188,MGYS00002437,seawater,1,SRR6457507,109070.0,109070.0,True,0.0,10000,True
SRS2821846,MGYS00002437,seawater,1,SRR6457378,109003.0,109003.0,True,0.0,10000,True
SRS2822259,MGYS00002437,seawater,1,SRR6457435,108897.0,108897.0,True,0.0,10000,True
SRS2821839,MGYS00002437,seawater,1,SRR6457385,108837.0,108837.0,True,0.0,10000,True
SRS2822313,MGYS00002437,seawater,1,SRR6457542,108690.0,108690.0,True,0.0,10000,True
SRS2822201,MGYS00002437,seawater,1,SRR6457494,108599.0,108599.0,True,0.0,10000,True
SRS2822268,MGYS00002437,seawater,1,SRR6457427,108271.0,108271.0,True,0.0,10000,True
SRS2821821,MGYS00002437,seawater,1,SRR6457402,108202.0,108202.0,True,0.0,10000,True
SRS2822205,MGYS00002437,seawater,1,SRR6457490,108166.0,108166.0,True,0.0,10000,True
SRS2822253,MGYS00002437,seawater,1,SRR6457441,107865.0,107865.0,True,0.0,10000,True
SRS2822030,MGYS00002437,seawater,1,SRR6457237,107790.0,107790.0,True,0.0,10000,True
SRS2822119,MGYS00002437,seawater,1,SRR6457102,107707.0,107707.0,True,0.0,10000,True
SRS2822207,MGYS00002437,seawater,1,SRR6457488,107428.0,107428.0,True,0.0,10000,True
SRS2822040,MGYS00002437,seawater,1,SRR6457178,107424.0,107424.0,True,0.0,10000,True
SRS2822279,MGYS00002437,seawater,1,SRR6457417,107256.0,107256.0,True,0.0,10000,True
SRS2821972,MGYS00002437,seawater,1,SRR6457248,107107.0,107107.0,True,0.0,10000,True
SRS2822123,MGYS00002437,seawater,1,SRR6457098,106836.0,106836.0,True,0.0,10000,True
SRS2822271,MGYS00002437,seawater,1,SRR6457425,106697.0,106697.0,True,0.0,10000,True
SRS2821859,MGYS00002437,seawater,1,SRR6457365,106683.0,106683.0,True,0.0,10000,True
SRS2821906,MGYS00002437,seawater,1,SRR6457316,106660.0,106660.0,True,0.0,10000,True
SRS2821891,MGYS00002437,seawater,1,SRR6457332,106523.0,106523.0,True,0.0,10000,True
SRS2821986,MGYS00002437,seawater,1,SRR6457235,106217.0,106217.0,True,0.0,10000,True
SRS2822089,MGYS00002437,seawater,1,SRR6457131,106106.0,106106.0,True,0.0,10000,True
SRS2822014,MGYS00002437,seawater,1,SRR6457249,105386.0,105386.0,True,0.0,10000,True
SRS2821822,MGYS00002437,seawater,1,SRR6457401,105317.0,105317.0,True,0.0,10000,True
SRS2821841,MGYS00002437,seawater,1,SRR6457383,105233.0,105233.0,True,0.0,10000,True
SRS2822019,MGYS00002437,seawater,1,SRR6457199,105067.0,105067.0,True,0.0,10000,True
SRS2822273,MGYS00002437,seawater,1,SRR6457422,104985.0,104985.0,True,0.0,10000,True
SRS2822137,MGYS00002437,seawater,1,SRR6457083,104552.0,104552.0,True,0.0,10000,True
SRS2822026,MGYS00002437,seawater,1,SRR6457192,104413.0,104413.0,True,0.0,10000,True
SRS2821991,MGYS00002437,seawater,1,SRR6457229,104089.0,104089.0,True,0.0,10000,True
SRS2821970,MGYS00002437,seawater,1,SRR6457251,103837.0,103837.0,True,0.0,10000,True
SRS2822266,MGYS00002437,seawater,1,SRR6457429,103790.0,103790.0,True,0.0,10000,True
SRS2822150,MGYS00002437,seawater,1,SRR6457547,103073.0,103073.0,True,0.0,10000,True
SRS2821943,MGYS00002437,seawater,1,SRR6457277,102564.0,102564.0,True,0.0,10000,True
SRS2822148,MGYS00002437,seawater,1,SRR6457548,102466.0,102466.0,True,0.0,10000,True
SRS2822152,MGYS00002437,seawater,1,SRR6457543,102041.0,102041.0,True,0.0,10000,True
SRS2822114,MGYS00002437,seawater,1,SRR6457106,101714.0,101714.0,True,0.0,10000,True
SRS2822250,MGYS00002437,seawater,1,SRR6457444,101157.0,101157.0,True,0.0,10000,True
SRS2822065,MGYS00002437,seawater,1,SRR6457155,100952.0,100952.0,True,0.0,10000,True
SRS2822001,MGYS00002437,seawater,1,SRR6457217,100263.0,100263.0,True,0.0,10000,True
SRS2822018,MGYS00002437,seawater,1,SRR6457200,100173.0,100173.0,True,0.0,10000,True
SRS2822117,MGYS00002437,seawater,1,SRR6457104,100157.0,100157.0,True,0.0,10000,True
SRS2821932,MGYS00002437,seawater,1,SRR6457289,99947.0,99947.0,True,0.0,10000,True
SRS2822057,MGYS00002437,seawater,1,SRR6457162,99859.0,99859.0,True,0.0,10000,True
SRS2821938,MGYS00002437,seawater,1,SRR6457282,99777.0,99777.0,True,0.0,10000,True
SRS2821988,MGYS00002437,seawater,1,SRR6457233,99609.0,99609.0,True,0.0,10000,True
SRS2822178,MGYS00002437,seawater,1,SRR6457518,99376.0,99376.0,True,0.0,10000,True
SRS2822274,MGYS00002437,seawater,1,SRR6457420,99280.0,99280.0,True,0.0,10000,True
SRS2822096,MGYS00002437,seawater,1,SRR6457123,99220.0,99220.0,True,0.0,10000,True
SRS2822060,MGYS00002437,seawater,1,SRR6457158,99189.0,99189.0,True,0.0,10000,True
SRS2822136,MGYS00002437,seawater,1,SRR6457084,98937.0,98937.0,True,0.0,10000,True
SRS2822258,MGYS00002437,seawater,1,SRR6457436,98391.0,98391.0,True,0.0,10000,True
SRS2822175,MGYS00002437,seawater,1,SRR6457188,98239.0,98239.0,True,0.0,10000,True
SRS2822208,MGYS00002437,seawater,1,SRR6457487,98082.0,98082.0,True,0.0,10000,True
SRS2822252,MGYS00002437,seawater,1,SRR6457442,98080.0,98080.0,True,0.0,10000,True
SRS2821895,MGYS00002437,seawater,1,SRR6457328,98065.0,98065.0,True,0.0,10000,True
SRS2822121,MGYS00002437,seawater,1,SRR6457100,97792.0,97792.0,True,0.0,10000,True
SRS2822153,MGYS00002437,seawater,1,SRR6457544,97615.0,97615.0,True,0.0,10000,True
SRS2821901,MGYS00002437,seawater,1,SRR6457322,97574.0,97574.0,True,0.0,10000,True
SRS2822127,MGYS00002437,seawater,1,SRR6457094,97126.0,97126.0,True,0.0,10000,True
SRS2821993,MGYS00002437,seawater,1,SRR6457227,97074.0,97074.0,True,0.0,10000,True
SRS2821978,MGYS00002437,seawater,1,SRR6457242,96835.0,96835.0,True,0.0,10000,True
SRS2821860,MGYS00002437,seawater,1,SRR6457364,96265.0,96265.0,True,0.0,10000,True
SRS2821865,MGYS00002437,seawater,1,SRR6457360,96245.0,96245.0,True,0.0,10000,True
SRS2822264,MGYS00002437,seawater,1,SRR6457431,96099.0,96099.0,True,0.0,10000,True
SRS2822199,MGYS00002437,seawater,1,SRR6457496,95912.0,95912.0,True,0.0,10000,True
SRS2822158,MGYS00002437,seawater,1,SRR6457537,95896.0,95896.0,True,0.0,10000,True
SRS2821838,MGYS00002437,seawater,1,SRR6457386,95860.0,95860.0,True,0.0,10000,True
SRS2821948,MGYS00002437,seawater,1,SRR6457314,95735.0,95735.0,True,0.0,10000,True
SRS2821990,MGYS00002437,seawater,1,SRR6457230,95431.0,95431.0,True,0.0,10000,True
SRS2821894,MGYS00002437,seawater,1,SRR6457329,95128.0,95128.0,True,0.0,10000,True
SRS2822245,MGYS00002437,seawater,1,SRR6457448,95056.0,95056.0,True,0.0,10000,True
SRS2822189,MGYS00002437,seawater,1,SRR6457506,95053.0,95053.0,True,0.0,10000,True
SRS2822049,MGYS00002437,seawater,1,SRR6457171,94923.0,94923.0,True,0.0,10000,True
SRS2822116,MGYS00002437,seawater,1,SRR6457212,94773.0,94773.0,True,0.0,10000,True
SRS2822224,MGYS00002437,seawater,1,SRR6457471,94550.0,94550.0,True,0.0,10000,True
SRS2821813,MGYS00002437,seawater,1,SRR6457409,94332.0,94332.0,True,0.0,10000,True
SRS2822278,MGYS00002437,seawater,1,SRR6457416,94049.0,94049.0,True,0.0,10000,True
SRS2821899,MGYS00002437,seawater,1,SRR6457324,94047.0,94047.0,True,0.0,10000,True
SRS2822005,MGYS00002437,seawater,1,SRR6457213,94000.0,94000.0,True,0.0,10000,True
SRS2821913,MGYS00002437,seawater,1,SRR6457308,93648.0,93648.0,True,0.0,10000,True
SRS2821903,MGYS00002437,seawater,1,SRR6457319,93583.0,93583.0,True,0.0,10000,True
SRS2822077,MGYS00002437,seawater,1,SRR6457143,93518.0,93518.0,True,0.0,10000,True
SRS2822090,MGYS00002437,seawater,1,SRR6457129,93221.0,93221.0,True,0.0,10000,True
SRS2822140,MGYS00002437,seawater,1,SRR6457080,93115.0,93115.0,True,0.0,10000,True
SRS2822003,MGYS00002437,seawater,1,SRR6457215,93049.0,93049.0,True,0.0,10000,True
SRS2822047,MGYS00002437,seawater,1,SRR6457172,92816.0,92816.0,True,0.0,10000,True
SRS2822149,MGYS00002437,seawater,1,SRR6457546,91843.0,91843.0,True,0.0,10000,True
SRS2821923,MGYS00002437,seawater,1,SRR6457298,91581.0,91581.0,True,0.0,10000,True
SRS2822079,MGYS00002437,seawater,1,SRR6457141,91482.0,91482.0,True,0.0,10000,True
SRS2822170,MGYS00002437,seawater,1,SRR6457525,91481.0,91481.0,True,0.0,10000,True
SRS2822212,MGYS00002437,seawater,1,SRR6457483,91412.0,91412.0,True,0.0,10000,True
SRS2822369,MGYS00002437,seawater,1,SRR6457513,91189.0,91189.0,True,0.0,10000,True
SRS2822007,MGYS00002437,seawater,1,SRR6457210,90966.0,90966.0,True,0.0,10000,True
SRS2822067,MGYS00002437,seawater,1,SRR6457153,90897.0,90897.0,True,0.0,10000,True
SRS2822120,MGYS00002437,seawater,1,SRR6457101,90839.0,90839.0,True,0.0,10000,True
SRS2822154,MGYS00002437,seawater,1,SRR6457541,90570.0,90570.0,True,0.0,10000,True
SRS2822147,MGYS00002437,seawater,1,SRR6457549,90427.0,90427.0,True,0.0,10000,True
SRS2821828,MGYS00002437,seawater,1,SRR6457397,90330.0,90330.0,True,0.0,10000,True
SRS2822254,MGYS00002437,seawater,1,SRR6457440,89977.0,89977.0,True,0.0,10000,True
SRS2822081,MGYS00002437,seawater,1,SRR6457139,89670.0,89670.0,True,0.0,10000,True
SRS2822218,MGYS00002437,seawater,1,SRR6457477,89659.0,89659.0,True,0.0,10000,True
SRS2821994,MGYS00002437,seawater,1,SRR6457226,89627.0,89627.0,True,0.0,10000,True
SRS2821997,MGYS00002437,seawater,1,SRR6457222,89623.0,89623.0,True,0.0,10000,True
SRS2821971,MGYS00002437,seawater,1,SRR6457250,89589.0,89589.0,True,0.0,10000,True
SRS2821857,MGYS00002437,seawater,1,SRR6457368,89564.0,89564.0,True,0.0,10000,True
SRS2822222,MGYS00002437,seawater,1,SRR6457473,89234.0,89234.0,True,0.0,10000,True
SRS2822146,MGYS00002437,seawater,1,SRR6457551,89003.0,89003.0,True,0.0,10000,True
SRS2821980,MGYS00002437,seawater,1,SRR6457240,88998.0,88998.0,True,0.0,10000,True
SRS2822187,MGYS00002437,seawater,1,SRR6457508,88945.0,88945.0,True,0.0,10000,True
SRS2822024,MGYS00002437,seawater,1,SRR6457194,88914.0,88914.0,True,0.0,10000,True
SRS2822037,MGYS00002437,seawater,1,SRR6457181,88726.0,88726.0,True,0.0,10000,True
SRS2822138,MGYS00002437,seawater,1,SRR6457082,88626.0,88626.0,True,0.0,10000,True
SRS2821917,MGYS00002437,seawater,1,SRR6457304,88321.0,88321.0,True,0.0,10000,True
SRS2821952,MGYS00002437,seawater,1,SRR6457269,88243.0,88243.0,True,0.0,10000,True
SRS2821831,MGYS00002437,seawater,1,SRR6457393,88227.0,88227.0,True,0.0,10000,True
SRS2822125,MGYS00002437,seawater,1,SRR6457096,87533.0,87533.0,True,0.0,10000,True
SRS2822275,MGYS00002437,seawater,1,SRR6457421,87406.0,87406.0,True,0.0,10000,True
SRS2822241,MGYS00002437,seawater,1,SRR6457454,87203.0,87203.0,True,0.0,10000,True
SRS2822183,MGYS00002437,seawater,1,SRR6457512,87035.0,87035.0,True,0.0,10000,True
SRS2821858,MGYS00002437,seawater,1,SRR6457366,86643.0,86643.0,True,0.0,10000,True
SRS2822227,MGYS00002437,seawater,1,SRR6457466,86409.0,86409.0,True,0.0,10000,True
SRS2822209,MGYS00002437,seawater,1,SRR6457486,86348.0,86348.0,True,0.0,10000,True
SRS2821861,MGYS00002437,seawater,1,SRR6457363,86165.0,86165.0,True,0.0,10000,True
SRS2821867,MGYS00002437,seawater,1,SRR6457357,86124.0,86124.0,True,0.0,10000,True
SRS2821947,MGYS00002437,seawater,1,SRR6457273,85916.0,85916.0,True,0.0,10000,True
SRS2821950,MGYS00002437,seawater,1,SRR6457271,85656.0,85656.0,True,0.0,10000,True
SRS2821902,MGYS00002437,seawater,1,SRR6457320,85585.0,85585.0,True,0.0,10000,True
SRS2821915,MGYS00002437,seawater,1,SRR6457306,85302.0,85302.0,True,0.0,10000,True
SRS2822099,MGYS00002437,seawater,1,SRR6457119,85286.0,85286.0,True,0.0,10000,True
SRS2821904,MGYS00002437,seawater,1,SRR6457318,84676.0,84676.0,True,0.0,10000,True
SRS2821871,MGYS00002437,seawater,1,SRR6457353,84634.0,84634.0,True,0.0,10000,True
SRS2821967,MGYS00002437,seawater,1,SRR6457254,84466.0,84466.0,True,0.0,10000,True
